@relation 'twitter_spam_data'
@attribute LenghtOfProfileName NUMERIC
@attribute LenghtOfProfileDescription NUMERIC
@attribute NumberOfFollowings NUMERIC
@attribute NumberOfFollowers NUMERIC
@attribute NumberOfTweetsPost NUMERIC
@attribute AgeOfTheUserAccount NUMERIC
@attribute RatioOfNumberOfFollowingsAndFollowers NUMERIC
@attribute ReputationOfTheUser NUMERIC
@attribute FollowingRate NUMERIC
@attribute NumberOfWords NUMERIC
@attribute NumberOfCharacters NUMERIC
@attribute NumberOfCapitalizationCharacter NUMERIC
@attribute NumberOfCapitalizationWordPerWord NUMERIC
@attribute MaxWordLenght NUMERIC
@attribute MeanWordLenght NUMERIC
@attribute NumberOfExclamationMark NUMERIC
@attribute NumberOfQuestionMark NUMERIC
@attribute NumberOfURL NUMERIC
@attribute URLPerWord NUMERIC
@attribute NumberOfHashtag NUMERIC
@attribute HashtagPerWord NUMERIC
@attribute NumberOfMention NUMERIC
@attribute MentionPerWord NUMERIC
@attribute NumberOfSpamWord NUMERIC
@attribute SpamWordPerWord NUMERIC
@ATTRIBUTE class {spam,legitimate}
@data 
15,48,333,330,11498,725,0.99,0.5,0.46,14,99,55,3.93,23,0,0,0,0,0.0,0,0.0,1,0.07,0,0.0,%%%%%%%%%RT @gmzperfect: SHE STILL DOES THAT THING WHERE SHE MAKES ALL THE FANS SING https://t.co/8VkrWADpeM
8,4,635,915,22747,1995,1.44,0.59,0.32,5,47,2,0.4,23,0,0,0,1,0.2,0,0.0,0,0.0,0,0.0,%%%%%%%%%yesss my baby isha 💞🤑 https://t.co/PzyaEv3zzd
12,86,506,700,23469,2454,1.38,0.58,0.21,15,102,17,1.13,11,0,0,0,0,0.0,1,0.07,3,0.2,0,0.0,%%%%%%%%%RT @TN_PCC: I'm very happy to come here and campaign along with Shri @mkstalin : @OfficeOfRG   #RGinTN
11,115,182,290,10605,383,1.59,0.61,0.48,10,43,3,0.3,9,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%I am revising, but that's not why I quit B)
14,150,2404,14739,28818,1374,6.13,0.86,1.75,19,118,4,0.21,16,0,0,0,0,0.0,0,0.0,1,0.05,0,0.0,%%%%%%%%%@JoshRiquelmeFit Though sometimes if we wait until we're fully ready, we'll wind up waiting for the rest of our lives.
12,89,2616,2465,17798,1639,0.94,0.49,1.6,6,100,12,2.0,16,0,0,0,0,0.0,0,0.0,5,0.83,0,0.0,%%%%%%%%%@Muslim_Patrol &lt;----- For now, Mohammad, for now. @tomcalley @SadiqKhan @ArRuple @TRobinsonNewEra
13,148,1380,2559,104911,1231,1.85,0.65,1.12,12,140,27,2.25,23,0,0,0,2,0.17,3,0.25,1,0.08,0,0.0,%%%%%%%%%RT @mjathols: RT https://t.co/MAhNjZsTR6 Sensations, hot and sultry, sang in her veins. SUBLIME https://t.co/ylNM7OvRRf  #AmazonUK #pdf1 #B…
13,45,391,849,39642,2174,2.17,0.68,0.18,11,86,40,3.64,23,0,0,0,0,0.0,0,0.0,1,0.09,0,0.0,%%%%%%%%%RT @girlposts: THIS IS THE CUTEST THING I'VE EVER SEEN OMG😭😭 https://t.co/ur4daCTQQk
8,133,100,70,515,664,0.7,0.41,0.15,9,63,7,0.78,17,0,0,0,0,0.0,0,0.0,1,0.11,0,0.0,%%%%%%%%%RT @AllahGreatQuran: People will test you, Allah will help you.
10,104,711,3557,22096,1591,5.0,0.83,0.45,4,61,12,3.0,23,0,0,0,1,0.25,0,0.0,1,0.25,0,0.0,%%%%%%%%%Stream @AttentionKills Season 3 Here: https://t.co/UykEDCZDnD
10,89,222,185,8157,871,0.83,0.45,0.25,22,136,5,0.23,13,0,0,0,0,0.0,0,0.0,1,0.05,0,0.0,%%%%%%%%%RT @TwerkerelIa: It’s highlү unlikelү for a person to get the chicken pox twice because theү virus never fullү leaves the person’s bodү.
11,4,923,2345,13854,332,2.54,0.72,2.78,22,123,1,0.05,10,0,0,0,0,0.0,0,0.0,0,0.0,1,0.04,%%%%%%%%%should I change my profile picture because i look so damn pretty on jeonghan face swap seriously so seungcheol will like me
11,4,541,560,12566,362,1.04,0.51,1.49,9,73,9,1.0,23,0,0,0,0,0.0,0,0.0,1,0.11,0,0.0,%%%%%%%%%RT @breeee1k: 14. SU- Stranger In My House 😭😭😭 https://t.co/7Vdjdzljjb
14,76,416,225,5729,976,0.54,0.35,0.43,11,68,2,0.18,11,0,0,0,0,0.0,0,0.0,1,0.09,0,0.0,%%%%%%%%%@RomanEcho no they weren't but not every rape is a false accusation.
11,83,176,119,653,736,0.68,0.4,0.24,19,140,9,0.47,11,0,0,0,0,0.0,1,0.05,2,0.11,1,0.05,%%%%%%%%%RT @KLSouth: Is there a more greater weasel and coward than @MittRomney who continues to embarrasses himself beyond his 2012 failures. #Dou…
10,31,595,513,18873,1439,0.86,0.46,0.41,14,108,5,0.36,23,0,0,0,1,0.07,0,0.0,0,0.0,0,0.0,%%%%%%%%%A battle within overflows into the outer world today, whether ... More for Capricorn https://t.co/r63f0XJxsv
7,61,477,493,24707,2213,1.03,0.51,0.22,2,38,4,2.0,23,0,4,0,1,0.5,0,0.0,0,0.0,0,0.0,%%%%%%%%%Can't wait!!!! https://t.co/o2qtDQhvUv
15,108,100,6229,525630,901,62.29,0.98,0.11,16,136,16,1.0,23,0,0,0,1,0.06,0,0.0,0,0.0,0,0.0,%%%%%%%%%[News Update] | Middlesbrough promoted to Premier League after Brighton draw, Burnley lift Cha... https://t.co/r3HG4UFaeA |Via TimesLive
7,19,510,1145,39647,1382,2.25,0.69,0.37,17,112,8,0.47,12,0,0,0,0,0.0,0,0.0,2,0.12,0,0.0,%%%%%%%%%RT @ddlovato: @PerezHilton relax.. I didn't shade anyone. If anything I shaded myself from how awkward I look 😂
13,24,40,102,97403,430,2.55,0.72,0.09,6,79,12,2.0,23,0,0,0,1,0.17,0,0.0,0,0.0,0,0.0,%%%%%%%%%Elite Products Bean Bag Lounger https://t.co/Pxkqdz8d2x https://t.co/T3ZhZ7OYcP
11,106,229,1717,1898,1080,7.5,0.88,0.21,16,139,16,1.0,23,0,0,1,1,0.06,1,0.06,0,0.0,0,0.0,%%%%%%%%%Having a few drinks 2night?
Try the How Are You quiz 2 see how much you're drinking
#OneYou https://t.co/MCK2RSukVU https://t.co/2gY7dxrR46
11,62,36,477539,47524,2566,13264.97,1.0,0.01,12,113,5,0.42,23,0,0,0,1,0.08,0,0.0,0,0.0,0,0.0,%%%%%%%%%Because sometimes we love having just one thing to choose from... https://t.co/EeFt4yevnh https://t.co/yh1ZnQzg9j
8,160,1967,1232,4217,260,0.63,0.39,7.57,7,128,8,1.14,23,0,0,0,1,0.14,4,0.57,0,0.0,0,0.0,%%%%%%%%%#crime prevention measures tightened for UK #gambling sector https://t.co/YglcvaURq7 #betting #crimestop https://t.co/vccf7kEWoB
10,148,897,48,20130,1340,0.05,0.05,0.67,6,76,11,1.83,23,0,0,0,1,0.17,1,0.17,1,0.17,1,0.14,%%%%%%%%%RT @HarryReid16: Ben Mitchell loves a suit.... #work https://t.co/I8rFJj2P1F
11,47,1819,3227,54445,1307,1.77,0.64,1.39,22,140,5,0.23,15,0,0,0,0,0.0,0,0.0,2,0.09,0,0.0,%%%%%%%%%RT @sportingintel: There are few if any better owners in English football, committed long-term to their town as well as their club, than St…
13,4,98,59,538,449,0.6,0.38,0.22,4,152,18,4.5,35,0,0,0,1,0.25,0,0.0,6,1.5,0,0.0,%%%%%%%%%RT @PicaToys: Free Register

💋https://t.co/dnXNLBTsOR 💋

🇳🇱 @PornPica
🇪🇸 @webcamfamosas
🇨🇴 @Boogie_1969
🇪🇸 @verovvp
🇦🇺 @CamGirlz1 https://t…
8,139,106,19,35,806,0.18,0.15,0.13,12,117,9,0.75,24,0,0,0,1,0.08,1,0.08,1,0.08,1,0.08,%%%%%%%%%RT @edutopia: 4 reasons to start class with a poem each day: https://t.co/kiLvmlYONy. #poetry https://t.co/t9LdxqSfCu
11,4,0,0,3,0,2.147483647E9,0.0,2.147483647E9,6,25,1,0.17,6,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%when am I gonna be enough
10,49,1019,529,13717,799,0.52,0.34,1.28,18,142,10,0.56,23,0,0,0,1,0.06,0,0.0,1,0.06,0,0.0,%%%%%%%%%RT @ColtonLHaynes: I can't thank yall enough for the unbelievable amount of support &amp; love you've been sending my… https://t.co/BCbLWziiod
8,16,445,475,4992,1117,1.07,0.52,0.4,15,106,8,0.53,23,0,0,0,0,0.0,0,0.0,1,0.07,0,0.0,%%%%%%%%%RT @whittingham96: Chris Evans is the art and we're all Paul Rudd enjoying the art https://t.co/tbe6q1GidE
15,123,544,2059038,91707,2607,3785.0,1.0,0.21,8,69,4,0.5,23,0,0,0,1,0.13,0,0.0,0,0.0,0,0.0,%%%%%%%%%These are the brands Americans trust the most https://t.co/orvovsg0RW
12,20,251,337,46445,1567,1.34,0.57,0.16,10,78,6,0.6,10,0,0,0,0,0.0,0,0.0,2,0.2,1,0.09,%%%%%%%%%RT @BuzzFeed: actually, just kidding. it's saturday. you can sleep in @TheRock
9,150,85,47,1331,2661,0.55,0.36,0.03,17,129,7,0.41,23,0,0,0,1,0.06,1,0.06,0,0.0,0,0.0,%%%%%%%%%#HillaryClinton has a plan to help &amp; retrain laid-off workers for new jobs in the clean coal industry https://t.co/4Wa1IJPOsp
15,60,213,80,2150,1438,0.38,0.27,0.15,18,135,5,0.28,23,0,0,0,1,0.06,0,0.0,1,0.06,0,0.0,%%%%%%%%%Spain's Rajoy is leading the country to a disastrous situation but he expect to avoid deficit fine https://t.co/w1zxazYN7v via @Reuters
12,88,337,99,2711,926,0.29,0.23,0.36,17,111,5,0.29,18,0,0,0,0,0.0,0,0.0,1,0.06,0,0.0,%%%%%%%%%@MsRachelElyse ...I was sitting too far away from them. I kinda just sat in silence...because, you know, shock.
13,4,292,414,12180,1266,1.42,0.59,0.23,10,65,1,0.1,14,0,1,0,0,0.0,0,0.0,1,0.1,0,0.0,%%%%%%%%%@tornedheart96 kaya yan! Hard at first pero you'll be happy soon.
12,45,1320,659,6118,442,0.5,0.33,2.99,3,36,4,1.33,23,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%Good morning https://t.co/wynvoI5HhU
14,157,3268,3239,24558,1467,0.99,0.5,2.23,10,93,10,1.0,23,0,0,0,1,0.1,0,0.0,2,0.2,0,0.0,%%%%%%%%%RT @schink10: Finding a New and Better Job in Education by @schink10: https://t.co/cUJ9vRmr1a
10,84,148,536,4295,2381,3.62,0.78,0.06,14,134,8,0.57,20,0,0,0,0,0.0,2,0.14,0,0.0,0,0.0,%%%%%%%%%Strenght does not come from physical capacity, it comes from an indomitable will. #PeopleMatter #BeulahToksspeaks #http://ow.ly/4mRAOq
10,4,1205,1524,15634,1171,1.26,0.56,1.03,18,93,0,0.0,9,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%crazy how much someone tell you how much they love you and turn around and show the opposite.
7,114,1950,961,45747,2547,0.49,0.33,0.77,8,97,5,0.63,23,0,0,0,1,0.13,0,0.0,3,0.38,0,0.0,%%%%%%%%%"turkey" on Tweeted Times https://t.co/b9MwdxIkB9 - top stories by @zoyrax, @j_acar, @gokhan_acun
